#FORMAT=WebAnno TSV 3.2


#Text=É sempre bom preparar lanches saudáveis com antecedência para quando você for ficar fora de casa por muito tempo. Algumas sugestões são frutas (frescas, secas ou preparadas em potinhos), barrinhas de cereal, mix de nozes, cenourinhas e biscoitos integrais. Lembre de não levar alimentos que precisem de refrigeração, pois eles podem comeaçar a estragar no meio do caminho. E não se esqueça da água!
1-1	0-1	É	
1-2	2-8	sempre	
1-3	9-12	bom	
1-4	13-21	preparar	
1-5	22-29	lanches	
1-6	30-39	saudáveis	
1-7	40-43	com	
1-8	44-56	antecedência	
1-9	57-61	para	
1-10	62-68	quando	
1-11	69-73	você	
1-12	74-77	for	
1-13	78-83	ficar	
1-14	84-88	fora	
1-15	89-91	de	
1-16	92-96	casa	
1-17	97-100	por	
1-18	101-106	muito	
1-19	107-112	tempo	
1-20	112-113	.	
1-21	114-121	Algumas	
1-22	122-131	sugestões	
1-23	132-135	são	
1-24	136-142	frutas	
1-25	143-144	(	
1-26	144-151	frescas	
1-27	151-152	,	
1-28	153-158	secas	
1-29	159-161	ou	
1-30	162-172	preparadas	
1-31	173-175	em	
1-32	176-184	potinhos	
1-33	184-185	)	
1-34	185-186	,	
1-35	187-196	barrinhas	
1-36	197-199	de	
1-37	200-206	cereal	
1-38	206-207	,	
1-39	208-211	mix	
1-40	212-214	de	
1-41	215-220	nozes	
1-42	220-221	,	
1-43	222-233	cenourinhas	
1-44	234-235	e	
1-45	236-245	biscoitos	
1-46	246-255	integrais	
1-47	255-256	.	
1-48	257-263	Lembre	
1-49	264-266	de	
1-50	267-270	não	
1-51	271-276	levar	
1-52	277-286	alimentos	
1-53	287-290	que	
1-54	291-299	precisem	
1-55	300-302	de	
1-56	303-315	refrigeração	
1-57	315-316	,	
1-58	317-321	pois	
1-59	322-326	eles	
1-60	327-332	podem	
1-61	333-341	comeaçar	
1-62	342-343	a	
1-63	344-352	estragar	
1-64	353-355	no	
1-65	356-360	meio	
1-66	361-363	do	
1-67	364-371	caminho	
1-68	371-372	.	
1-69	373-374	E	
1-70	375-378	não	
1-71	379-381	se	
1-72	382-389	esqueça	
1-73	390-392	da	
1-74	393-397	água	
1-75	397-398	!	
